"name","state","state_code","type","degree_length","room_and_board","in_state_tuition","in_state_total","out_of_state_tuition","out_of_state_total","total_enrollment","rank","early_career_pay","mid_career_pay","make_world_better_percent","stem_percent","women","native_american","asian","black","hispanic","pacific_islander","white","two_more_races","unkown","foreign","total_minority"
"Baton Rouge Community College","Louisiana","LA","Public","2 Year",NA,3981,3981,8059,8059,7740,NA,NA,NA,NA,NA,4581,24,149,3263,241,12,3105,159,633,154,3848
"Bay College","Michigan","MI","Public","2 Year",3200,4830,8030,8910,12110,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Bay Mills Community College","Michigan","MI","Public","2 Year",NA,3250,3250,3250,3250,555,NA,NA,NA,NA,NA,372,320,1,3,4,0,227,0,0,0,328
"Bay Path University","Massachusetts","MA","Private","4 Year",12799,34225,47024,34225,47024,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Bay State College","Massachusetts","MA","For Profit","2 Year",13300,27750,41050,27750,41050,1108,NA,NA,NA,NA,NA,731,3,72,255,130,0,456,84,104,4,544
"Bayamon Central University",NA,"PR","Private","4 Year",NA,5775,5775,5775,5775,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Baylor University","Texas","TX","Private","4 Year",12595,45727,58322,45727,58322,16263,12,55500,101400,49,16,9152,62,939,1129,2146,9,10445,699,150,684,4984
"Beacon College","Florida","FL","Private","4 Year",11390,39016,50406,39016,50406,223,NA,NA,NA,NA,NA,79,3,5,34,7,1,156,12,0,5,62
"Beaufort County Community College","North Carolina","NC","Public","2 Year",NA,2344,2344,8104,8104,2035,NA,NA,NA,NA,NA,1290,14,10,684,92,2,1142,21,57,13,823
"Becker College","Massachusetts","MA","Private","4 Year",13800,39200,53000,39200,53000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Beckfield College","Kentucky","KY","For Profit","4 Year",NA,4000,4000,4000,4000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Beis Medrash Heichal Dovid","New York","NY","Private","4 Year",4500,9500,14000,9500,14000,111,NA,NA,NA,NA,NA,0,0,0,0,0,0,111,0,0,0,0
"Belhaven University","Mississippi","MS","Private","4 Year",8500,25300,33800,25300,33800,4114,7,41200,74300,60,2,2815,23,20,2253,144,7,1155,61,366,85,2508
"Bellarmine University","Kentucky","KY","Private","4 Year",12250,42200,54450,42200,54450,3609,3,49000,90700,54,11,2430,9,65,196,101,5,2964,97,124,48,473
"Bellevue College","Washington","WA","Public","2 Year",NA,4258,4258,9689,9689,13469,18,50100,88500,56,14,7359,73,2267,657,1458,79,6394,551,1216,774,5085
"Bellevue University","Nebraska","NE","Private","4 Year",8730,9390,18120,9390,18120,9879,10,49400,84800,57,23,5254,49,214,1168,676,30,5640,211,1601,290,2348
"Bellin College","Wisconsin","WI","Private","4 Year",NA,22178,22178,22178,22178,351,6,55800,97600,94,0,325,3,3,1,5,1,334,1,3,0,14
"Bellingham Technical College","Washington","WA","Public","2 Year",NA,2790,2790,3460,3460,2301,NA,NA,NA,NA,NA,1125,25,51,20,175,7,1430,107,486,0,385
"Belmont Abbey College","North Carolina","NC","Private","4 Year",10355,18500,28855,18500,28855,1560,NA,NA,NA,NA,NA,890,4,15,391,23,0,631,5,470,21,438
"Belmont College","Ohio","OH","Public","2 Year",NA,4973,4973,8070,8070,1042,NA,NA,NA,NA,NA,684,13,3,30,7,0,971,17,1,0,70
"Belmont University","Tennessee","TN","Private","4 Year",12120,34310,46430,34310,46430,7244,17,47300,80900,47,3,4478,16,157,318,300,7,5734,231,390,91,1029
"Beloit College","Wisconsin","WI","Private","4 Year",8830,50040,58870,50040,58870,1303,17,47400,85700,59,24,757,5,32,60,109,3,909,22,33,130,231
"Bemidji State University","Minnesota","MN","Public","4 Year",8408,8696,17104,8696,17104,4986,NA,NA,NA,NA,NA,2805,130,51,83,94,1,4108,151,271,97,510
"Benedict College","South Carolina","SC","Private","4 Year",6200,16600,22800,16600,22800,2444,NA,NA,NA,NA,NA,1224,0,9,2416,7,0,8,0,4,0,2432
"Benedictine College","Kansas","KS","Private","4 Year",10300,29530,39830,29530,39830,2138,3,48700,91800,69,13,1124,8,26,70,112,7,1690,95,62,68,318
"Benedictine University","Illinois","IL","Private","4 Year",9480,34290,43770,34290,43770,6307,NA,NA,NA,NA,NA,4005,20,755,703,464,15,2811,0,1407,132,1957
"Benjamin Franklin Institute of Technology","Massachusetts","MA","Private","2 Year",12400,18690,31090,18690,31090,507,NA,NA,NA,NA,NA,52,2,45,149,103,2,150,17,35,4,318
"Bennett College for Women","North Carolina","NC","Private","4 Year",8114,18513,26627,18513,26627,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Bennington College","Vermont","VT","Private","4 Year",15610,54360,69970,54360,69970,755,6,48800,90000,50,5,508,13,25,10,38,1,517,23,45,83,110
"Bentley University","Massachusetts","MA","Private","4 Year",16320,49880,66200,49880,66200,5565,9,66600,116600,36,7,2385,4,433,149,325,0,3138,102,233,1181,1013
"Berea College","Kentucky","KY","Private","4 Year",6764,39990,46754,39990,46754,1621,19,39500,71600,53,27,909,2,26,242,95,3,1010,88,30,125,456
"Bergen Community College","New Jersey","NJ","Public","2 Year",NA,5610,5610,10650,10650,15651,NA,NA,NA,NA,NA,7531,23,1099,961,3904,58,5100,254,3232,1020,6299
"Bergin University of Canine Studies","California","CA","Private","4 Year",NA,9450,9450,9450,9450,65,NA,NA,NA,NA,NA,56,0,7,1,2,1,51,0,1,2,11
"Berkeley City College","California","CA","Public","2 Year",NA,1432,1432,9622,9622,6321,NA,NA,NA,NA,NA,3488,18,1014,1167,1568,25,1702,451,304,72,4243
"Berklee College of Music","Massachusetts","MA","Private","4 Year",18180,42750,60930,42750,60930,4908,NA,NA,NA,NA,NA,1567,9,176,266,407,8,1802,217,414,1609,1083
"Berkshire Community College","Massachusetts","MA","Public","2 Year",NA,8569,8569,15589,15589,2230,NA,NA,NA,NA,NA,1360,8,42,152,157,4,1755,39,64,9,402
"Berry College","Georgia","GA","Private","4 Year",12770,36556,49326,36556,49326,2177,12,44900,84900,44,21,1335,2,26,93,134,3,1806,62,32,19,320
"Beth Hatalmud Rabbinical College","New York","NY","Private","4 Year",NA,11750,11750,11750,11750,29,NA,NA,NA,NA,NA,0,0,0,0,0,0,29,0,0,0,0
"Beth Medrash Govoha","New Jersey","NJ","Private","4 Year",4172,21388,25560,21388,25560,6721,NA,NA,NA,NA,NA,0,0,0,0,8,0,6591,0,0,122,8
"Bethany College","Kansas","KS","Private","4 Year",10605,28475,39080,28475,39080,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Bethany College","West Virginia","WV","Private","4 Year",10580,29773,40353,29773,40353,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Bethany Lutheran College","Minnesota","MN","Private","4 Year",8100,27650,35750,27650,35750,531,NA,NA,NA,NA,NA,280,3,3,14,16,1,465,12,13,4,49
"Bethel College","Indiana","IN","Private","4 Year",9000,28590,37590,28590,37590,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Bethel College","Kansas","KS","Private","4 Year",8850,28780,37630,28780,37630,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Bethel University","Tennessee","TN","Private","4 Year",9198,16552,25750,16552,25750,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Bethel University","Minnesota","MN","Private","4 Year",10520,37300,47820,37300,47820,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Bethesda University of California","California","CA","Private","4 Year",NA,8350,8350,8350,8350,331,NA,NA,NA,NA,NA,130,0,191,38,59,0,30,0,9,4,288
"Bethune-Cookman University","Florida","FL","Private","4 Year",9412,14814,24226,14814,24226,4044,NA,NA,NA,NA,NA,2377,4,9,3580,115,8,78,77,89,84,3793
"Beulah Heights University","Georgia","GA","Private","4 Year",6000,9880,15880,9880,15880,673,NA,NA,NA,NA,NA,380,1,87,482,12,0,29,0,48,14,582
"Beverly Hills Design Institute","California","CA","Private","4 Year",NA,31060,31060,31060,31060,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Bevill State Community College","Alabama","AL","Public","2 Year",1300,4770,6070,8640,9940,3609,NA,NA,NA,NA,NA,2243,6,14,533,50,0,2922,31,53,0,634
"Big Bend Community College","Washington","WA","Public","2 Year",3537,4272,7809,9703,13240,2016,NA,NA,NA,NA,NA,1066,14,28,26,674,0,1112,41,112,9,783
"Big Sandy Community and Technical College","Kentucky","KY","Public","2 Year",NA,5310,5310,18000,18000,4638,NA,NA,NA,NA,NA,2244,7,8,29,28,0,4269,28,265,4,100
"Biola University","California","CA","Private","4 Year",10730,40488,51218,40488,51218,6358,NA,NA,NA,NA,NA,3462,14,1217,170,972,13,3137,332,215,288,2718
"Birmingham-Southern College","Alabama","AL","Private","4 Year",12350,17650,30000,17650,30000,1185,NA,NA,NA,NA,NA,550,12,62,130,23,0,946,6,6,0,233
"Bishop State Community College","Alabama","AL","Public","2 Year",NA,4740,4740,8610,8610,3320,NA,NA,NA,NA,NA,1974,23,55,2113,63,7,946,40,15,58,2301
"Bismarck State College","North Dakota","ND","Public","2 Year",7794,4790,12584,6785,14579,4002,NA,NA,NA,NA,NA,1731,57,21,110,89,3,3519,107,89,7,387
"Black Hawk College","Illinois","IL","Public","2 Year",NA,4470,4470,7650,7650,6307,NA,NA,NA,NA,NA,3678,8,277,693,786,8,4194,193,127,21,1965
"Black Hills State University","South Dakota","SD","Public","4 Year",6978,8733,15711,11778,18756,4489,NA,NA,NA,NA,NA,2916,154,22,41,166,10,3697,143,183,73,536
"Black River Technical College","Arkansas","AR","Public","2 Year",NA,3660,3660,6510,6510,1963,NA,NA,NA,NA,NA,1281,9,2,49,24,0,1873,6,0,0,90
"Blackburn College","Illinois","IL","Private","4 Year",7930,22410,30340,22410,30340,585,NA,NA,NA,NA,NA,319,3,7,63,13,0,479,12,8,0,98
"Blackfeet Community College","Montana","MT","Public","2 Year",6787,3590,10377,3590,10377,495,NA,NA,NA,NA,NA,296,470,0,0,3,0,22,0,0,0,473
"Blackhawk Technical College","Wisconsin","WI","Public","2 Year",NA,4340,4340,6623,6623,2471,NA,NA,NA,NA,NA,1489,15,22,180,239,3,1885,82,45,0,541
"Bladen Community College","North Carolina","NC","Public","2 Year",NA,2528,2528,8672,8672,1334,NA,NA,NA,NA,NA,932,203,0,486,49,0,554,7,35,0,745
"Blessing-Rieman College of Nursing & Health Sciences","Illinois","IL","Private","4 Year",NA,25250,25250,25250,25250,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Blinn College","Texas","TX","Public","2 Year",8103,3540,11643,10050,18153,18850,NA,NA,NA,NA,NA,9790,75,425,1694,3667,19,11987,534,272,177,6414
"Bloomfield College","New Jersey","NJ","Private","4 Year",11950,29550,41500,29550,41500,2004,NA,NA,NA,NA,NA,1278,12,56,1044,484,8,216,11,103,70,1615
"Bloomsburg University of Pennsylvania","Pennsylvania","PA","Public","4 Year",9686,10958,20644,22532,32218,9998,NA,NA,NA,NA,NA,5750,7,112,779,491,11,8125,209,145,119,1609
"Blue Mountain College","Mississippi","MS","Private","4 Year",6294,12584,18878,12584,18878,544,NA,NA,NA,NA,NA,330,1,5,56,10,0,462,2,1,7,74
"Blue Mountain Community College","Oregon","OR","Public","2 Year",NA,6188,6188,15908,15908,1731,NA,NA,NA,NA,NA,1020,39,12,23,370,11,1179,52,45,0,507
"Blue Ridge Community and Technical College","West Virginia","WV","Public","2 Year",NA,4128,4128,7464,7464,5528,NA,NA,NA,NA,NA,3628,19,99,356,199,12,4705,117,21,0,802
"Blue Ridge Community College","North Carolina","NC","Public","2 Year",NA,2365,2365,8125,8125,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Blue Ridge Community College","Virginia","VA","Public","2 Year",NA,5364,5364,11292,11292,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Bluefield College","Virginia","VA","Private","4 Year",9024,25290,34314,25290,34314,944,NA,NA,NA,NA,NA,544,0,48,160,37,0,637,30,13,19,275
"Bluefield State College","West Virginia","WV","Public","4 Year",NA,8820,8820,16920,16920,1563,NA,NA,NA,NA,NA,968,4,3,156,17,0,1319,17,13,34,197
"Bluegrass Community and Technical College","Kentucky","KY","Public","2 Year",NA,5310,5310,18000,18000,10952,NA,NA,NA,NA,NA,6376,33,176,1321,476,20,8284,303,170,169,2329
"Bluffton University","Ohio","OH","Private","4 Year",10800,32766,43566,32766,43566,1094,NA,NA,NA,NA,NA,554,0,7,59,34,0,942,20,26,6,120
"Bob Jones University","South Carolina","SC","Private","4 Year",6976,18150,25126,18150,25126,3108,NA,NA,NA,NA,NA,1702,8,73,44,177,12,2329,80,205,180,394
"Boise Bible College","Idaho","ID","Private","4 Year",6200,12520,18720,12520,18720,175,NA,NA,NA,NA,NA,86,3,1,2,9,0,150,3,6,1,18
"Boise State University","Idaho","ID","Public","4 Year",10692,7694,18386,23776,34468,22227,4,50100,86400,55,14,12120,132,436,357,2149,71,16919,697,650,816,3842
"Bolivar Technical College","Missouri","MO","Private","2 Year",NA,18292,18292,18292,18292,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Boricua College","New York","NY","Private","4 Year",NA,11025,11025,11025,11025,1163,NA,NA,NA,NA,NA,876,0,0,170,957,3,10,0,23,0,1130
"Bossier Parish Community College","Louisiana","LA","Public","2 Year",NA,4283,4283,8960,8960,8693,NA,NA,NA,NA,NA,5467,79,49,3600,553,17,3762,161,455,17,4459
"Boston Architectural College","Massachusetts","MA","Private","4 Year",13280,21894,35174,21894,35174,876,NA,NA,NA,NA,NA,411,2,46,37,89,1,431,21,167,82,196
"Boston Baptist College","Massachusetts","MA","Private","4 Year",7810,12600,20410,12600,20410,94,NA,NA,NA,NA,NA,44,0,1,4,3,0,86,0,0,0,8
"Boston College","Massachusetts","MA","Private","4 Year",14478,55464,69942,55464,69942,14317,11,63600,115400,43,13,7808,15,1144,575,1238,1,8299,375,1269,1401,3348
"Boston Conservatory at Berklee","Massachusetts","MA","Private","4 Year",18360,46020,64380,46020,64380,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Boston University","Massachusetts","MA","Private","4 Year",15720,53948,69668,53948,69668,32112,13,61400,113600,43,25,18765,27,3448,1190,2419,34,14642,868,3072,6412,7986
"Bowdoin College","Maine","ME","Private","4 Year",14698,53922,68620,53922,68620,1805,2,61300,112000,54,37,903,2,114,88,229,0,1147,117,10,98,550
"Bowie State University","Maryland","MD","Public","4 Year",10904,8233,19137,18873,29777,5695,18,50300,89900,65,11,3583,6,81,4751,147,9,201,168,98,234,5162
"Bowling Green State University","Ohio","OH","Public","4 Year",9168,11105,20273,19093,28261,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Bowling Green State University: Firelands College","Ohio","OH","Public","2 Year",NA,4912,4912,12901,12901,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Bradley University","Illinois","IL","Private","4 Year",10620,33760,44380,33760,44380,5300,6,55600,104900,46,38,2673,10,144,245,282,5,3507,69,651,387,755
"Brandeis University","Massachusetts","MA","Private","4 Year",15440,55395,70835,55395,70835,5945,14,60600,113200,48,29,3228,6,582,275,323,3,2643,118,611,1384,1307
"Brandman University","California","CA","Private","4 Year",NA,15380,15380,15380,15380,7795,NA,NA,NA,NA,NA,4909,46,356,769,1954,70,3834,321,443,2,3516
"Brazosport College","Texas","TX","Public","2 Year",NA,2715,2715,5355,5355,4155,NA,NA,NA,NA,NA,2006,9,35,290,1492,0,2179,103,47,0,1929
"Brenau University","Georgia","GA","Private","4 Year",12418,29050,41468,29050,41468,2789,NA,NA,NA,NA,NA,2418,5,62,935,177,5,1362,80,74,89,1264
"Brescia University","Kentucky","KY","Private","4 Year",9200,22400,31600,22400,31600,1056,10,44300,81200,53,7,771,9,3,133,63,2,704,0,132,10,210
"Brevard College","North Carolina","NC","Private","4 Year",9900,29350,39250,29350,39250,705,NA,NA,NA,NA,NA,296,4,6,73,7,2,498,19,43,53,111
"Brewton-Parker College","Georgia","GA","Private","4 Year",7850,18690,26540,18690,26540,638,NA,NA,NA,NA,NA,284,1,3,146,28,0,307,10,135,8,188
"Briar Cliff University","Iowa","IA","Private","4 Year",9020,31964,40984,31964,40984,1135,NA,NA,NA,NA,NA,669,8,18,62,99,1,894,19,0,34,207
"BridgeValley Community and Technical College","West Virginia","WV","Public","2 Year",NA,5460,5460,13020,13020,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Bridgewater College","Virginia","VA","Private","4 Year",12720,35160,47880,35160,47880,1785,NA,NA,NA,NA,NA,962,8,17,179,74,1,1344,83,62,17,362
"Bridgewater State University","Massachusetts","MA","Public","4 Year",13090,10367,23457,16507,29597,11187,NA,NA,NA,NA,NA,6791,27,209,933,617,9,8573,290,443,86,2085
"Brigham Young University","Utah","UT","Private","4 Year",7628,5620,13248,5620,13248,30484,NA,NA,NA,NA,NA,13680,112,593,157,1685,178,25208,1029,358,1164,3754
"Brigham Young University-Hawaii","Hawaii","HI","Private","4 Year",6586,5560,12146,5560,12146,NA,1,51700,93900,57,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Brigham Young University-Idaho","Idaho","ID","Private","4 Year",4592,4118,8710,4118,8710,NA,2,53700,93500,59,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Bristol Community College","Massachusetts","MA","Public","2 Year",NA,5970,5970,12150,12150,9189,NA,NA,NA,NA,NA,5611,28,178,727,729,2,6798,418,302,7,2082
"Brookdale Community College","New Jersey","NJ","Public","2 Year",NA,5216,5216,9281,9281,14144,NA,NA,NA,NA,NA,7531,58,489,1425,1892,33,9507,130,503,107,4027
"Brookhaven College","Texas","TX","Public","2 Year",NA,1770,1770,5220,5220,12403,NA,NA,NA,NA,NA,7239,47,1238,2285,4479,6,3689,157,448,54,8212
"Broome Community College","New York","NY","Public","2 Year",11818,5482,17300,10210,22028,5944,NA,NA,NA,NA,NA,3365,10,35,141,314,0,3422,13,1830,179,513
"Broward College","Florida","FL","Public","2 Year",NA,3540,3540,11190,11190,44119,NA,NA,NA,NA,NA,25988,84,1305,14638,15053,133,9047,742,1757,1360,31955
"Brown University","Rhode Island","RI","Private","4 Year",14670,55656,70326,55656,70326,9181,NA,NA,NA,NA,NA,4682,26,1099,550,894,13,3886,376,798,1539,2958
"Brunswick Community College","North Carolina","NC","Public","2 Year",NA,2380,2380,8140,8140,1814,NA,NA,NA,NA,NA,1088,18,32,262,78,1,1317,66,33,7,457
"Bryan College of Health Sciences","Nebraska","NE","Private","4 Year",NA,18270,18270,18270,18270,691,NA,NA,NA,NA,NA,607,3,17,12,20,2,627,10,0,0,64
"Bryan College: Dayton","Tennessee","TN","Private","4 Year",7500,26800,34300,26800,34300,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Bryan University: Rogers","Arkansas","AR","For Profit","2 Year",NA,10230,10230,10230,10230,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Bryant University","Rhode Island","RI","Private","4 Year",15702,43973,59675,43973,59675,3462,NA,NA,NA,NA,NA,1436,12,141,145,216,5,2517,44,103,279,563
"Bryn Athyn College","Pennsylvania","PA","Private","4 Year",11886,22815,34701,22815,34701,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Bryn Mawr College","Pennsylvania","PA","Private","4 Year",16500,52360,68860,52360,68860,1709,NA,NA,NA,NA,NA,1629,2,166,105,134,2,744,75,162,319,484
"Bucknell University","Pennsylvania","PA","Private","4 Year",13662,56092,69754,56092,69754,3624,5,66700,122900,40,40,1883,1,126,114,187,0,2836,124,14,222,552
"Bucks County Community College","Pennsylvania","PA","Public","2 Year",1500,5660,7160,14660,16160,8979,NA,NA,NA,NA,NA,4928,84,270,411,488,6,5469,208,2028,15,1467
"Buena Vista University","Iowa","IA","Private","4 Year",9538,34004,43542,34004,43542,2295,NA,NA,NA,NA,NA,1528,14,28,34,92,1,1854,19,190,63,188
"Bunker Hill Community College","Massachusetts","MA","Public","2 Year",NA,5580,5580,11760,11760,14253,NA,NA,NA,NA,NA,8089,40,1447,3879,3331,22,3685,381,804,664,9100
"Butler Community College","Kansas","KS","Public","2 Year",5950,3180,9130,5310,11260,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Butler County Community College","Pennsylvania","PA","Public","2 Year",NA,4950,4950,10950,10950,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Butler University","Indiana","IN","Private","4 Year",13830,41120,54950,41120,54950,4848,7,51800,99300,53,9,2877,8,119,182,146,0,4006,91,157,139,546
"Butte College","California","CA","Public","2 Year",NA,1498,1498,8518,8518,12161,NA,NA,NA,NA,NA,6328,211,668,308,2331,56,7280,268,857,182,3842
"Cabarrus College of Health Sciences","North Carolina","NC","Private","4 Year",NA,13194,13194,13194,13194,448,NA,NA,NA,NA,NA,409,0,6,40,12,0,383,7,0,0,65
"Cabrillo College","California","CA","Public","2 Year",NA,1500,1500,9300,9300,13594,NA,NA,NA,NA,NA,7057,65,447,188,5154,26,6768,627,247,72,6507
"Cabrini University","Pennsylvania","PA","Private","4 Year",12266,31920,44186,31920,44186,2203,NA,NA,NA,NA,NA,1475,2,21,285,96,2,1537,73,185,2,479
"Cairn University","Pennsylvania","PA","Private","4 Year",10294,27279,37573,27279,37573,1058,NA,NA,NA,NA,NA,579,2,40,175,66,1,718,16,20,20,300
"Caldwell Community College and Technical Institute","North Carolina","NC","Public","2 Year",NA,2356,2356,8116,8116,3876,NA,NA,NA,NA,NA,2172,70,58,198,185,4,3265,19,70,7,534
"Caldwell University","New Jersey","NJ","Private","4 Year",12025,34715,46740,34715,46740,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Calhoun Community College","Alabama","AL","Public","2 Year",NA,4840,4840,8690,8690,10802,NA,NA,NA,NA,NA,6045,186,374,1942,458,7,7170,427,171,67,3394
"California Baptist University","California","CA","Private","4 Year",12160,33478,45638,33478,45638,7957,NA,NA,NA,NA,NA,5203,57,398,665,2524,73,3250,361,454,175,4078
"California Christian College","California","CA","Private","4 Year",4950,9570,14520,9570,14520,20,NA,NA,NA,NA,NA,4,1,0,2,6,0,10,1,0,0,10
"California Coast University","California","CA","For Profit","4 Year",NA,4500,4500,4500,4500,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"California College of the Arts","California","CA","Private","4 Year",10136,49138,59274,49138,59274,1998,NA,NA,NA,NA,NA,1236,11,285,83,252,18,620,0,177,552,649
